date,merchant,category,amount,is_recurring,balance_after,tags
2025-09-01,Carrefour,Groceries,-32.97,0,837.0300000000002,groceries
2025-09-01,Fuel Station,Transport,-2.6,0,834.4299999999998,transport
2025-09-01,Soup & Salad,Eating out,-11.57,0,822.8600000000001,eating_out;cheap_meal
2025-09-01,Employer Payroll,Income,2850.0,1,3672.8599999999997,salary;recurring
2025-09-02,Local Market,Groceries,-33.43,0,3639.4300000000003,groceries
2025-09-02,Landlord / Rent,Rent,-1200.0,1,2439.4300000000003,rent;recurring
2025-09-04,Spotify,Subscriptions,-10.99,1,2428.4399999999996,subscription;recurring
2025-09-05,Steak & Co,Eating out,-49.95,0,2378.49,eating_out;weekend
2025-09-06,Burger House,Eating out,-22.49,0,2356.0,eating_out;weekend
2025-09-06,Cocktail Bar,Weekend activities,-54.75,0,2301.25,weekend;nightlife
2025-09-07,Lidl,Groceries,-15.26,0,2285.99,groceries;weekend
2025-09-07,Steak & Co,Eating out,-36.67,0,2249.3199999999997,eating_out;weekend
2025-09-07,Netflix,Subscriptions,-13.49,1,2235.83,subscription;recurring
2025-09-08,Tesco,Groceries,-20.07,0,2215.76,groceries
2025-09-09,Lidl,Groceries,-15.29,0,2200.4700000000003,groceries
2025-09-10,Phone Plan,Subscriptions,-24.9,1,2175.5699999999997,subscription;recurring
2025-09-10,Lunch Bistro,Eating out,-17.46,0,2158.1099999999997,eating_out
2025-09-10,Local Market,Groceries,-20.56,0,2137.55,groceries
2025-09-11,ALDI,Groceries,-36.74,0,2100.8100000000004,groceries
2025-09-11,Tram,Transport,-6.79,0,2094.0200000000004,transport
2025-09-12,Lidl,Groceries,-25.13,0,2068.8900000000003,groceries;weekend
2025-09-13,Online Shop,Shopping,-28.09,0,2040.8000000000002,shopping;impulse;weekend
2025-09-13,Taxi,Transport,-17.49,0,2023.3100000000004,transport;weekend;late_night
2025-09-13,Tesco,Groceries,-23.81,0,1999.5,groceries;weekend
2025-09-14,Tesco,Groceries,-46.12,0,1953.38,groceries;weekend
2025-09-14,Gym Membership,Subscriptions,-44.9,1,1908.4799999999996,subscription;recurring
2025-09-15,Metro,Transport,-5.68,0,1902.8000000000002,transport
2025-09-17,ALDI,Groceries,-20.2,0,1882.6000000000004,groceries
2025-09-17,Fuel Station,Transport,-3.31,0,1879.29,transport
2025-09-18,Bus,Transport,-4.89,0,1874.3999999999996,transport
2025-09-18,Cloud Storage,Subscriptions,-2.99,1,1871.4099999999999,subscription;recurring
